id,title,original_name,url,duration,count,liked_count,album_id,album_code,album_title,album_year,artists,languages
100,BJRNB - Selfie Le Le Re.mp3,Selfie Le Le Re,songs-file/BJRNB%20-%20Selfie%20Le%20Le%20Re.mp3.mp3,297.71755102040817,0,0,46,BJRNB,Bajrangi Bhaijaan,2015,"Vishal Dadlani, Pritam Chakraborty, Nakash Aziz, Badshah",Hindi
101,BJRNB - Tu Chahiye.mp3,Tu Chahiye,songs-file/BJRNB%20-%20Tu%20Chahiye.mp3.mp3,272.8489795918367,0,0,46,BJRNB,Bajrangi Bhaijaan,2015,Atif Aslam,Hindi
102,BJRNB - Tu Jo Mila.mp3,Tu Jo Mila,songs-file/BJRNB%20-%20Tu%20Jo%20Mila.mp3.mp3,242.86408163265307,0,0,46,BJRNB,Bajrangi Bhaijaan,2015,KK,Hindi
103,BJRNB - Zindagi Kuch Toh Bata.mp3,Zindagi Kuch Toh Bata,songs-file/BJRNB%20-%20Zindagi%20Kuch%20Toh%20Bata.mp3.mp3,263.291375,0,0,46,BJRNB,Bajrangi Bhaijaan,2015,Jubin Nautiyal,Hindi
104,BNBN - Tu Meri.mp3,Tu Meri,songs-file/BNBN%20-%20Tu%20Meri.mp3.mp3,257.11455782312925,0,0,47,BNBN,Bang Bang!,2014,Vishal Dadlani,Hindi
105,BRFI - Main Kya Karoon.mp3,Main Kya Karoon,songs-file/BRFI%20-%20Main%20Kya%20Karoon.mp3.mp3,268.9044897959184,0,0,48,BRFI,Barfi!,2012,Nikhil Paul George,Hindi
106,BEP - Tere Bin.mp3,Tere Bin,songs-file/BEP%20-%20Tere%20Bin.mp3.mp3,275.9866666666667,0,0,49,BEP,Bas Ek Pal,2006,Atif Aslam,Hindi
107,BOSK - Dheere Dheere.mp3,Dheere Dheere,songs-file/BOSK%20-%20Dheere%20Dheere.mp3.mp3,212.43936507936507,0,0,50,BOSK,Best Of Sonam Kapoor,2017,Yo Yo Honey Singh,Hindi
108,BTAB - Badal Yoon Garajta Hai.mp3,Badal Yoon Garajta Hai,songs-file/BTAB%20-%20Badal%20Yoon%20Garajta%20Hai.mp3.mp3,339.3385625,0,0,51,BTAB,Betaab,1983,"Shabbir Kumar, Lata Mangeshkar",Hindi
109,BJ - Aankhon Aankhon.mp3,Aankhon Aankhon,songs-file/BJ%20-%20Aankhon%20Aankhon.mp3.mp3,244.901175,0,0,52,BJ,Bhaag Johnny,2015,Yo Yo Honey Singh,Hindi
110,BHGMB - Bhagam Bhag.mp3,Bhagam Bhag,songs-file/BHGMB%20-%20Bhagam%20Bhag.mp3.mp3,279.2830625,0,0,53,BHGMB,Bhagam Bhag,2006,Neeraj Shridhar,Hindi
111,BHGMB - Tere Bin.mp3,Tere Bin,songs-file/BHGMB%20-%20Tere%20Bin.mp3.mp3,340.56,0,0,53,BHGMB,Bhagam Bhag,2006,"Sunidhi Chauhan, Kunal Ganjawala",Hindi
112,BBRMKTNM - Bheegi Bheegi Raton Mein.mp3,Bheegi Bheegi Raton Mein,songs-file/BBRMKTNM%20-%20Bheegi%20Bheegi%20Raton%20Mein.mp3.mp3,364.580875,0,0,54,BBRMKTNM,Bheegi Bheegi Raton Mein... Kabhi To Nazar Milao,1997,Adnan Sami,Hindi
113,BHBH - Labon Ko.mp3,Labon Ko,songs-file/BHBH%20-%20Labon%20Ko.mp3.mp3,343.616,0,0,55,BHBH,Bhool Bhulaiyaa,2007,KK,Hindi
114,BHBH - Lets Rock Soniye.mp3,Lets Rock Soniye,songs-file/BHBH%20-%20Lets%20Rock%20Soniye.mp3.mp3,266.5091875,0,0,55,BHBH,Bhool Bhulaiyaa,2007,"Tulsi Kumar, Shaan",Hindi
115,BHOT - Samay Ka Pahiya.mp3,Samay Ka Pahiya,songs-file/BHOT%20-%20Samay%20Ka%20Pahiya.mp3.mp3,439.96225,0,0,56,BHOT,Bhoothnath,2008,"Sukhwinder Singh, Hariharan",Hindi
116,BHOTR - Party To Banti Hai.mp3,Party To Banti Hai,songs-file/BHOTR%20-%20Party%20To%20Banti%20Hai.mp3.mp3,259.6909297052154,0,0,57,BHOTR,Bhoothnath Returns,2014,"Meet Bros, Mika Singh",Hindi
117,BILU - Jaaun Kahan.mp3,Jaaun Kahan,songs-file/BILU%20-%20Jaaun%20Kahan.mp3.mp3,333.848,0,0,58,BILU,Billu,2009,Rahat Fateh Ali Khan,Hindi
